Site;Grave_ID;InventoryNumber;Plate_number;grave_fill;source_distance_km;RawMaterial;object_type;count;comments;condition;retouch_1_side;polish_perc;length_mm;width_mm;thickness_mm;weight;total_graves;total_material;skill_level;specialColor
Marefy (Ctrvti od Letonic);177.4.5. Gr. 5;flint;;;5;patinated siliceous rock;blade;1;flint blade (patinated siliceous rock. L - 49 mm);;;;49;;;;413;255;;
Morkuvky (built-up section of the village);197.1.1;flint;;TRUE;100;Glacial flint;blade;1;Grave fill: flint blade (bilateral flat retouch, siliceous rock from glacial sediments. L - 84 mm);;2;;84;;;;413;93;;
Boleradice (U studanky);20.1.1. Gr. 1;flint;;;100;Glacial flint;blade;1;flint blade (local retouch. Siliceous rock from glacial sediments. L - 70 mm);;1;;70;;;;413;93;;
Nechvalin (Nivky);207.1.6. Gr. 18;flint;;;5;;flake;1;flint flake (lost in investigation);;;;;;;;413;255;;
Pavlov (Horni pole);232.1.1 Grave 5 (VN 1);flint;;;5;;flake;1;chert flake (retouch at either edge, L - 54 mm);;2;;54;;;;413;255;;
Pavlov (Horni pole);232.1.1 Grave 5 (VN 1);flint;;;40;Krumlovsky les I type;blade;1;Krumlovsky chert blade (mesial part of blade, L - 30 mm);fragment;;;30;;;;413;21;;
Pavlov (Horni pole);232.1.1 Grave 5 (VN 1);flint;;;100;Glacial flint;blade;1;siliceous blade (terminal strongly worn out micro end-scraper and lateral convex side-scraper. Siliceous rock from glacial sediments. L - 51 mm);;;;51;;;;413;93;;
Pavlov (Horni pole);232.1.2. Gr. 14;flint;;;40;Krumlovsky les II type;blade;1;chert blade fragment (standing on animal bones, Krumlovsky type II chert, L - 11 mm);;;;11;;;;413;21;;
Sivice (Zahumení);271.1.1. Gr. 1: Skel. 1;flint;;;5;;point;1;siliceous point (bilateral retouch. L - 62 mm, lost);;2;;62;;;;413;255;;
Slatinky (Nivky);273.1.1. Gr. 1;flint;;;5;;knife;1;silex knife (unidentified);;;;;;;;413;255;;
Slavkov u Brna (Slovanska ulice);277.1.1. Gr. 1;flint;;;5;;blade;1;blade (terminal part, laterally retouched);;1;;;;;;413;255;;
Smrzice (Zaolesni);281.1.1. Gr. 1;flint;;;100;Glacial flint;blade;1;silex blade (siliceous rock from glacial sediments. L - 48 mm);;;;48;;;;413;93;;
Brno-Stary Liskovec (Housing Estate of Czechoslovak-Soviet Friendship, Bohunice-West);30.1.2 Grave 36 (VN 1);flint;;;5;ashy grey siliceous rock with foraminifera;blade;1;flint blade (65 mm, retouch on both sides, ashy grey siliceous rock with foraminifera);;2;;65;;;;413;255;;
Vícemilice (Na Barace);347.1.1 Grave 1;flint;;;5;;flake;1;flint flake (L 30mm, unidentified);;;;30;;;;413;255;;
Vícemilice (Na Barace);347.1.3. Gr. 3;flint;;;5;;endscraper;1;burned siliceous rock endscraper (L - 30 mm. Unidentified);;;;30;;;;413;255;;
Vresovice (Padelky);355.1.2. Gr. 2;flint;;;100;Glacial flint;blade;1;silex blade (retouched from both sides. Siliceous rock from glacial sediments. L - 59 mm);;2;;59;;;;413;93;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;flint;;;75;radiolarite;blade;1;silex blade (Radiolarite(?), L-56 mm);;;;56;;;;413;11;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;flint;;;100;Glacial flint;blade;1;silex blade (siliceous rock from glacial sediments. L - 43);;;;43;;;;413;93;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;flint;;;100;Glacial flint;blade;1;pointed silex blade (siliceous rock from glacial sediments. L - 55 mm);;;;55;;;;413;93;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;flint;;;180;Jurassic siliceous rock from the Krakow-Czestochowa Upland;blade;1;silex blade (mesial part. Jurassic siliceous rock from the Krakow-Czestochowa Upland. Pres. L - 18);fragment;;;18;;;;413;9;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;flint;;;5;;flake;1;silex flake basal (medial part, with local retouch. Undetermined siliceous. Pres. L - 32 mm);fragment;1;;32;;;;413;255;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;flint;;;100;Glacial flint;flake;1;silex flake (terminal part of flake with terminal bee delimited by two tangs. Siliceous rock from glacial sediments. L - 29 mm);;;;29;;;;413;93;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;flint;;;75;radiolarite;flake;1;silex flake (radiolarite, L 35mm);;;;35;;;;413;11;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;flint;;;100;Glacial flint;flake;1;silex flake (sileceous rock from glacial sediments, L 36mm);;;;36;;;;413;93;;
Zelesice (Sadova ulice, site No. 203/2);368.1.1 Grave 1;flint;;;100;Glacial flint;blade;1;silex blade (medial and terminal parts with steep side retouch and terminal edge notch, siliceous rock from glacial sediments, pres. L 62mm);fragment;1;;62;;;;413;93;;
Detkovice (Motorway Prostejov-Vyskov Section);58.1.1. Gr. 1;flint;;;100;Glacifluvial rock;blade;1;silex blade (siliceous rock from glacifluvial sediments. L - 83 mm);;;;83;;;;413;93;;
Drahlov (Cow barn of the agricultural cooperative);72.1.2 Grave 2 (VN 2);flint;;;100;Glacial flint;blade;1;pointed silex blade (retouched on both sides, with 2 opposite indentations. Siliceous rock from glacial pediments. L - 73 mm);;2;;73;;;;413;93;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;40;Krumlovsky les I type;blade;2;2 blades, Krumlovsky les I type;;;;;;;;413;21;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;30;Stranska skala type;blade;1;1 blade Stránská skála type;;;;;;;;413;11;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;75;radiolarite;flake;2;2 radiolarite flakes (imported from outside Moravia);;;;;;;;413;11;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;40;Krumlovsky les I type;splintered piece;1;1 splintered chert piece Krumlovsky les I type;;;;;;;;413;21;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;30;Stranska skala type;splintered piece;3;3 splintered chert pieces Stránská skála type;;;;;;;;413;11;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;15;Moravian Jurassic chert;splintered piece;1;1 splintered chert piece Moravian Jurassic;;;;;;;;413;18;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;40;Krumlovsky les I type;flake;3;3 local chert flakes Krumlovsky les I type;;;;;;;;413;21;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;40;Krumlovsky les II type;flake;7;7 local chert flakes Krumlovsky les II type;;;;;;;;413;21;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;30;Stranska skala type;flake;7;7 local chert flakes Stránská skála type;;;;;;;;413;11;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;70;Cretaceous;flake;4;4 local chert flakes Cretaceous;;;;;;;;413;4;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;15;Moravian Jurassic chert;flake;13;13 local chert flakes Moravian Jurassic;;;;;;;;413;18;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;5;local chert;flake;1;1 local chert flake unidentified);;;;;;;;413;255;;
Hostice Farm of the Vyskov State Farm;97.1.1 Grave 1 (VN 1);flint;;;5;;blade;1;silex blade (part with local retouch, unidentified siliceous rock. Pres. L - 20 mm);;1;;20;;;;413;255;;
