"","addition","value"
"267","TOTadd1",11
"268","TOTadd2",12
"269","TOTadd3",13
"270","TOTadd4",14
"271","TOTadd5",15
"272","TOTadd6",16
"273","TOTadd7",17
"274","TOTadd8",18
"275","TOTadd9",19
"276","TOTadd10",20
"277","TOT_original",1
"278","TOT_x_max",5
"279","TOTadd1",6
"280","TOTadd2",7
"281","TOTadd3",8
"282","TOTadd4",9
"283","TOTadd5",10
"284","TOTadd6",11
"285","TOTadd7",12
"286","TOTadd8",13
"287","TOTadd9",14
"288","TOTadd10",15
"289","TOT_original",0
"290","TOT_x_max",0
"291","TOTadd1",1
"292","TOTadd2",2
"293","TOTadd3",3
"294","TOTadd4",4
"295","TOTadd5",5
"296","TOTadd6",6
"297","TOTadd7",7
"298","TOTadd8",8
"299","TOTadd9",9
"300","TOTadd10",10
"301","TOT_original",0
"302","TOT_x_max",0
"303","TOTadd1",1
"304","TOTadd2",2
"305","TOTadd3",3
"306","TOTadd4",4
"307","TOTadd5",5
"308","TOTadd6",6
"309","TOTadd7",7
"310","TOTadd8",8
"311","TOTadd9",9
"312","TOTadd10",10
"313","TOT_original",1
"314","TOT_x_max",5
"315","TOTadd1",6
"316","TOTadd2",7
"317","TOTadd3",8
"318","TOTadd4",9
"319","TOTadd5",10
"320","TOTadd6",11
"321","TOTadd7",12
"322","TOTadd8",13
"323","TOTadd9",14
"324","TOTadd10",15
"325","TOT_original",3
"326","TOT_x_max",15
"327","TOTadd1",16
"328","TOTadd2",17
"329","TOTadd3",18
"330","TOTadd4",19
"331","TOTadd5",20
"332","TOTadd6",21
"333","TOTadd7",22
"334","TOTadd8",23
"335","TOTadd9",24
"336","TOTadd10",25
"337","TOT_original",0
"338","TOT_x_max",0
"339","TOTadd1",1
"340","TOTadd2",2
"341","TOTadd3",3
"342","TOTadd4",4
"343","TOTadd5",5
"344","TOTadd6",6
"345","TOTadd7",7
"346","TOTadd8",8
"347","TOTadd9",9
"348","TOTadd10",10
"349","TOT_original",0
"350","TOT_x_max",0
"351","TOTadd1",1
"352","TOTadd2",2
"353","TOTadd3",3
"354","TOTadd4",4
"355","TOTadd5",5
"356","TOTadd6",6
"357","TOTadd7",7
"358","TOTadd8",8
"359","TOTadd9",9
"360","TOTadd10",10
"361","TOT_original",0
"362","TOT_x_max",0
"363","TOTadd1",1
"364","TOTadd2",2
"365","TOTadd3",3
"366","TOTadd4",4
"367","TOTadd5",5
"368","TOTadd6",6
"369","TOTadd7",7
"370","TOTadd8",8
"371","TOTadd9",9
"372","TOTadd10",10
"373","TOT_original",2
"374","TOT_x_max",10
"375","TOTadd1",11
"376","TOTadd2",12
"377","TOTadd3",13
"378","TOTadd4",14
"379","TOTadd5",15
"380","TOTadd6",16
"381","TOTadd7",17
"382","TOTadd8",18
"383","TOTadd9",19
"384","TOTadd10",20
"385","TOT_original",2
"386","TOT_x_max",10
"387","TOTadd1",11
"388","TOTadd2",12
"389","TOTadd3",13
"390","TOTadd4",14
"391","TOTadd5",15
"392","TOTadd6",16
"393","TOTadd7",17
"394","TOTadd8",18
"395","TOTadd9",19
"396","TOTadd10",20
"397","TOT_original",3
"398","TOT_x_max",15
"399","TOTadd1",16
"400","TOTadd2",17
"401","TOTadd3",18
"402","TOTadd4",19
"403","TOTadd5",20
"404","TOTadd6",21
"405","TOTadd7",22
"406","TOTadd8",23
"407","TOTadd9",24
"408","TOTadd10",25
"409","TOT_original",0
"410","TOT_x_max",0
"411","TOTadd1",1
"412","TOTadd2",2
"413","TOTadd3",3
"414","TOTadd4",4
"415","TOTadd5",5
"416","TOTadd6",6
"417","TOTadd7",7
"418","TOTadd8",8
"419","TOTadd9",9
"420","TOTadd10",10
"421","TOT_original",0
"422","TOT_x_max",0
"423","TOTadd1",1
"424","TOTadd2",2
"425","TOTadd3",3
"426","TOTadd4",4
"427","TOTadd5",5
"428","TOTadd6",6
"429","TOTadd7",7
"430","TOTadd8",8
"431","TOTadd9",9
"432","TOTadd10",10
"433","TOT_original",3
"434","TOT_x_max",15
"435","TOTadd1",16
"436","TOTadd2",17
"437","TOTadd3",18
"438","TOTadd4",19
"439","TOTadd5",20
"440","TOTadd6",21
"441","TOTadd7",22
"442","TOTadd8",23
"443","TOTadd9",24
"444","TOTadd10",25
"445","TOT_original",3
"446","TOT_x_max",15
"447","TOTadd1",16
"448","TOTadd2",17
"449","TOTadd3",18
"450","TOTadd4",19
"451","TOTadd5",20
"452","TOTadd6",21
"453","TOTadd7",22
"454","TOTadd8",23
"455","TOTadd9",24
"456","TOTadd10",25
"457","TOT_original",3
"458","TOT_x_max",15
"459","TOTadd1",16
"460","TOTadd2",17
"461","TOTadd3",18
"462","TOTadd4",19
"463","TOTadd5",20
"464","TOTadd6",21
"465","TOTadd7",22
"466","TOTadd8",23
"467","TOTadd9",24
"468","TOTadd10",25
"469","TOT_original",2
"470","TOT_x_max",10
"471","TOTadd1",11
"472","TOTadd2",12
"473","TOTadd3",13
"474","TOTadd4",14
"475","TOTadd5",15
"476","TOTadd6",16
"477","TOTadd7",17
"478","TOTadd8",18
"479","TOTadd9",19
"480","TOTadd10",20
"481","TOT_original",0
"482","TOT_x_max",0
"483","TOTadd1",1
"484","TOTadd2",2
"485","TOTadd3",3
"486","TOTadd4",4
"487","TOTadd5",5
"488","TOTadd6",6
"489","TOTadd7",7
"490","TOTadd8",8
"491","TOTadd9",9
"492","TOTadd10",10
"493","TOT_original",3
"494","TOT_x_max",15
"495","TOTadd1",16
"496","TOTadd2",17
"497","TOTadd3",18
"498","TOTadd4",19
"499","TOTadd5",20
"500","TOTadd6",21
"501","TOTadd7",22
"502","TOTadd8",23
"503","TOTadd9",24
"504","TOTadd10",25
"505","TOT_original",2
"506","TOT_x_max",10
"507","TOTadd1",11
"508","TOTadd2",12
"509","TOTadd3",13
"510","TOTadd4",14
"511","TOTadd5",15
"512","TOTadd6",16
"513","TOTadd7",17
"514","TOTadd8",18
"515","TOTadd9",19
"516","TOTadd10",20
"517","TOT_original",2
"518","TOT_x_max",10
"519","TOTadd1",11
"520","TOTadd2",12
"521","TOTadd3",13
"522","TOTadd4",14
"523","TOTadd5",15
"524","TOTadd6",16
"525","TOTadd7",17
"526","TOTadd8",18
"527","TOTadd9",19
"528","TOTadd10",20
"529","TOT_original",2
"530","TOT_x_max",10
"531","TOTadd1",11
"532","TOTadd2",12
"533","TOTadd3",13
"534","TOTadd4",14
"535","TOTadd5",15
"536","TOTadd6",16
"537","TOTadd7",17
"538","TOTadd8",18
"539","TOTadd9",19
"540","TOTadd10",20
"541","TOT_original",1
"542","TOT_x_max",5
"543","TOTadd1",6
"544","TOTadd2",7
"545","TOTadd3",8
"546","TOTadd4",9
"547","TOTadd5",10
"548","TOTadd6",11
"549","TOTadd7",12
"550","TOTadd8",13
"551","TOTadd9",14
"552","TOTadd10",15
"553","TOT_original",3
"554","TOT_x_max",15
"555","TOTadd1",16
"556","TOTadd2",17
"557","TOTadd3",18
