Grave_ID	SiteName	SiteID	Diet (Kolar et al. 2012)	elevation_m_asl	elevation_source	ageGroup	meanAge	graveDepth	underlier_depth_cm	gravePitVol_m3	BarrowPreserved	SkelPos	HeadOrient	MorphSex	SexGender	Typochronology	pitLabourHours	height	anthroNotes	GravegoodsList	ChippedStoneMaterial	RockMaterialMaterial	unworkedAnimal_spec	boneToothBeads_perf	boneToolSimple	BoneTuskAntler_complex	small vessel	S_Polish	S_Deco	vesselLarge	L_Polish	L_Deco	potsherdsUndetermined	spindleWhorl	copperAwlNeedle	copperKnifeRazor	copperJewellery	copperNeckRing	GoldHairRing	flintAxe	flintBladeScraperFlake	shellPerf	battleAxe	stoneAxe	unworkedStoneMineral	Literature
347.1.5 Grave 5 (VN 3b)	Vícemilice (Na Barace)*	347		240	DEM	NA	NA	80		1,6184	FALSE	left	EW (face E)	NA	female	II-IIIb	3,592848			flint axe (glacial), spindle whorl (ceramic, biconic), grave filling: potsherds, burnt clay pieces	Glacial flint												1	1						1					1	Sebela 1999
35.1.1  Grave 1 (VN 3a)	Bucovice (Hvezdy)	35		217	DEM	adultus I	20	30		0,530145	FALSE	NA	NA (not reported)	female	female	II-IIIb	1,1769219			jug+ (small), potsherds (amphora), potsherds^ (beaker)							1	1					2													Sebela 1999
35.1.2  Grave 2 (VN 3a)	Bucovice (Hvezdy)	35		217	DEM	juvenis	15	40		1,7	FALSE	right	W	female	ambiguous	IIIb-c	3774			egg-shaped pot (small), jug+ (small), egg-shaped pot+ (large), amphora+							2	1		2	2															Sebela 1999
355.1.2. Gr. 2	Vresovice (Padelky)	355		249	Description	maturus I	45	45		1,81818	FALSE	right	NNW	male	male	IIIa-b	4,0363596			"egg-shaped pot (small), ""storied jug"" (small), jug (large, amphora-shaped), bone tool (chisel-like, aurochs tibia, 16,4cm), flint blade (glacial), stone axe (greenschist), battle axe (fine mica sandstone-siltstone), animal bone (dom. pig, pelvis iliac wing), boar tusk (frag., dom. pig)"	Glacial flint	greenschist, fine mica sandstone-siltstone	1		1		2			1													1	2		Sebela 1999
368.1.1 Grave 1	Zelešice (Sadová ulice, site No. 203/2)	368	heavily worn teeth, heavy dental abrasion (especially right lower P1), several teeth lost during lifetime. Right I2 has occlusion caries without crown, rare at advanced age	220	DEM	maturus	55	140		2,07928	FALSE	right	SSE	female(Q)	ambiguous	II-IIIb	4,6160016		short height (“an age of between 50 and 60”), very well developed muscles, only five heavily worked teeth, remaining teeth lost during lifetime	bone tool (rib, bored, no ID, 9cm), silex blade (radiolarite(?), flint blade (glacial), pointed flint blade (glacial), silex blade (Krakow-Czestochowa Jurassic), silex flake basal (undetermined), flint flake (tanged, glacial), silex flake (radiolarite), flint flake (glacial), flint blade (glacial), boar tusk awl (dom. pig(?), well made 10,1cm), stone axe+ (greenschist), 15 small bored shells (Theodoxus), 2 small pored shells  (perforated, Theodoxus), perf. oyster shell hanger^, copper ring (wire, 20,5x24mm), 4 copper beads (7x10mm, wire, thin band), haematite lumps	Glacial flint (x5), radiolarite (x2), Krakow-Czestochowa Jurassic, Undetermined	greenschist			2												5				9	18		1	1	Sebela 1999
56.1.1. Gr. 1	Celechovice na Hané (Pískovna)	56		235	DEM	juvenis	13	90		1,924425	FALSE	NA	W	subadult	NA	II-IIIb	4,2722235			jug+ (large), battle axe (gabbro?)		gabbro?								1	1												1			Sebela 1999
58.1.1. Gr. 1	Detkovice (Motorway Prostejov-Vyškov Section)	58		240	DEM	infans I	5	90		3402	FALSE	NA	NA (position undetermined)	subadult	NA	III	7,55244			pointed bone tool (hard diaphysis, 17cm), potsherds+^ (jug), potsherds (egg-shaped pot), copper awl in sheep/goat bone handle (bipoint), flint blade (glacial), animal bones (dom. pig, diaphysis of all primary bones)	Glacial flint		1		1	1							2		1						1					Sebela 1999
72.1.1. Gr. 1	Drahlov (Cow barn of the agricultural cooperative)	72		220	DEM	maturus II	55	90		NA	FALSE	back upwards (legs left/right?)	NA (not reported)	female(Q)	female	III	NA	161		neck potsherd+ (egg-shaped pot), potsherds+ (2 unknown vessels), bone tool (unknown, 11,6cm)					1								3													Sebela 1999
72.1.2 Grave 2 (VN 2)	Drahlov (Cow barn of the agricultural cooperative)	72		220	DEM	adultus II	35	100		NA	FALSE	right	S	male	male	II-IIIb	NA			neck potsherds+^^ (beaker), potsherds^ (unknown vessel), pointed flint blade (glacial), battle axe (culm greywacke)	Glacial flint	culm greywacke											2								1		1			Sebela 1999
93.1.1. Gr.2	Holubice IV (U cihelen)	93.1		225	Description	infans I	0	25		0,2	FALSE	right	N (face W)	subadult	male	II-IIIb	444			beaker^ (small, funnel-shaped neck)							1		1																	Sebela 1999
