Site;Grave_ID;Object_ID;Plate_number;grave_fill;raw_material;mohs_hardness_mean;toughness;Mohs_notes;objectType;object_description;condition;grind_perc;length_mm;width_mm;thickness_mm;weight_g;hole_diam;source_distance_km;total_graves;total_material_absolute;skill_level;specialColor
Ivanovice na Hané 4;Iv4_809;A17529;48.3;;local river stone;5.42;1.8;assuming mean of granite (6.5), basalt (6) and schist (3.75) on https://rocks.comparenature.com, based on https://www.hunker.com/13411368/what-type-of-rocks-are-river-rocks;pebble;pebble, triangular smooth shape, offal/greywacke probably from a local stream.;;0;40;27;19;;;0;413;413;;
Ivanovice na Hané 4;Iv4_809;A17529;48.3;;sandstone;6.5;2.6;https://rocks.comparenature.com/en/sandstone-rock/model-8-0;pebble;triangular fragment of non-calcareous Tertiary sandstone;fragment;0;73;40;22;;;5;413;413;;
Ivanovice na Hané 4;Iv4_810;A17537a;53.18;;quartz;7;1.6;https://doi.org/10.2138/am.2006.1844;pebble;part of a quartz stone;;0;61;26;34;;;5;413;413;;
Ivanovice na Hané 4;Iv4_810;A17537b;53.18;;mylonitized granitoid;5;1.2;mean of mylonite (3.5) and granite (6.5) on https://rocks.comparenature.com/, granite toughness used https://doi.org/10.1016/j.proeng.2017.05.242 ;pebble;pebble of mylonitized granitoid;;0;52;39;20;;;5;413;413;;
Vyškov;H1;A 25730;59:2;;olivine basalt;6;2.3;https://rocks.comparenature.com/en/basalt-rock/model-7-0;flat axe;flat axe with damaged back;;1;88;50;25;203;;50;413;12;;
Kostelec u Holešova (Kostelecké polesí);132.1.7.2  Barrow 2 (VN 1);;NA;;porphyric volcanite;6.25;2.7;Mohs hardness from 10.1016/s0043-1648(01)00717-7, toughness unknown, mean (0-7) used;axe-hammer;unidentified;;1;136;58;44;510;22-23;48;413;9;;
Blučina;14.1.1. Gr. 1;;2:4;;slanska mountain type (basaltic nephelinite);6.5;2.7;nephelinite (basaltic rock) http://lokality.geology.cz/d.pl?item=7&id=2503&l=e&Okres=KD&vyb=1, https://rocks.comparenature.com/en/nephelinite-rock/model-124-0;axe;flat ax with damaged back ;;1;35;9.5;;30;;50;413;12;;
Blučina;14.1.1. Gr. 1;;;;sandstone;6.5;2.6;https://rocks.comparenature.com/en/sandstone-rock/model-8-0;stone;rock fragment (sandstone, cobble roundstone);;0;;;;;;5;413;413;;
Kyjov-Nětčice (Stará Hora);148.2.1. Gr. 1;1.1.1.5. ;36:5a-b, 201:4;;calcareous sandstone;6.5;2.6;https://rocks.comparenature.com/en/sandstone-rock/model-8-0;axe-hammer;"Battle-axe (pentagonal/trapezoid shape. On the edge, part near the edge slanting indentation, negative of carbonised binding, destroyed during the conservation. Calcareous sandstone, L - 148 mm; W - 55 mm; edge H - 35 mm.)";;0.2;148;55;35 (edge height);;;5;413;184;;
Kyjov-Nětčice (Stará Hora);148.2.1. Gr. 1;;36:4, 203:1;;greenschist;3.75;1.5;https://rocks.comparenature.com/en/greenschist-rock/model-135-0;axe;"Stone axe (trapezoid shape. Greenschist. L - 83 mm; edge W - 40 mm; H - 16 mm)";;1.2;83;40 (edge);16 (height);;;5;413;184;;
Letonice (Hájek);155.1.2 Barrow 4 (VN 1);;NA;;;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;axe;stone axe (lost);;1;;;;;;5;413;184;;
Letonice (Hájek);155.1.2 Barrow 4 (VN 1);;41:1;;;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;axe-hammer;"Battle-axe of simple shape in plane view with long rectangular butt and bore near edge, in side view trapezoid (raw material was not determined). L - 122 mm; W - 39 mm; edge H - 42 mm; Bore - 20-19 mm)";;1;122;39;42 (edge height);;19-20;5;413;184;;
Letonice (Hájek);155.1.4 Barrow 6 (VN 1);;46:2a-b;;serpentinite;4;7;https://rocks.comparenature.com/en/serpentinite-rock/model-103-0;axe-hammer;battle axe (serpentinite?);;1;;;;;;200;413;29;;
Letonice (Hájek);155.1.4 Barrow 6 (VN 1);;;;;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;pebble;stone pebble;;0;;;;;;5;413;413;;
Letonice (Hájek);155.1.4 Barrow 6 (VN 1);;;;sandstone;6.5;2.6;https://rocks.comparenature.com/en/sandstone-rock/model-8-0;stone;pointed sandstone object (weathered, fine-grained, with arched grooves);;0;;;;;;5;413;413;;
Letonice (Hájek);155.1.3. Br. 5;155.1.3.4.;42:3;;;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;axe;"Stone axe (plane view of trapezoid shape with straight edge and rectangular cross section (raw material not determined). L - 59 mm; edge W - 42 mm; H - 16 mm)";;1;59;42 (edge);16 (height);;;5;413;184;;
Pavlov (Horní pole);232.1.1 Grave 5 (VN 1);;81:3;;greenschist;3.75;1.5;https://rocks.comparenature.com/en/greenschist-rock/model-135-0;axe;"greenschist axe (rectangular shape, straight edge with slanting scratches macroscopically visible. L - 132 mm; W - 54.5 mm; H - 19 mm)";;0.9;132;54.5;19 (height);;;5;413;184;;
Pavlov (Horní pole);232.1.1 Grave 5 (VN 1);;81:4, 204:2a-b;;metamorphic basic rock;5.58;1.9;mean of metabasite (6.5), greenschist (3.75), and amphibolite (6.5) (common metamorphic rocks used for stone tools in this area according to Kolar 2018: 154);axe;"stone axe (trapezoid form with straight edge, visible macroscopic working traces on surface, metamorphic basic rock. L - 63 mm; edge W - 54.5 mm; butt W - 32 mm; H - 13 mm)";;0.9;63;54.5 (edge), 32 (butt);13 (height);;;5;413;184;;
Podolí (Žuráň);240.1.1. Br. 1;;85:7;;strongly calcareous sediment;3.5;1;limestone assumed https://rocks.comparenature.com/en/limestone-rock/model-5-0;axe-hammer;"battle axe (strongly calcareous sediment, pentagonal shape, rectangular cross section, planoconvex side view. L - 106 mm; W - 50 mm; H - 36 mm; Bore - 17-18 mm; Weight - 291 g)";;1;106;50;36 (height);291;17-18;5;413;184;;
Sivice (Záhumení);271.1.1. Gr. 1: Skel. 1;;96:4;;;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;axe-hammer;"battle axe (simple shape in plane view with convex sides, in side view biconvex. L - 112 mm; W - 47 mm, unidentified)";;0.9;112;47;;;;5;413;184;;
Slatinky (Nivky);273.1.1. Gr. 1;;97:2;;;5.12;3.13;mean of all Mohs hardness and toughness in this dataset;axe-hammer;battle-axe (simple shape, unidentified);;1;;;;;;5;413;184;;
Strážnice (Štěrkovna, Gravel pit);291.1.1. Gr. 1;;100:3a-b;;noncalcareous mica-schist siltstone;6.5;2.6;siltstone assumed https://rocks.comparenature.com/en/siltstone-rock/model-37-0;axe-hammer;"battle-axe (quadratic cross section, rectangular side view. Noncalcareous mica-schist siltstone. L - 125 mm; W - 31 mm; Bore -17-20 mm)";;0.7;125;31;;;17-20;5;413;184;;
