X	Y	fid	resource	Reference	OreDeposit	metallurgy	date	mine	sitename	type	res_simple	auxiliary_storage_labeling_positionx	auxiliary_storage_labeling_positiony
5480965.69583203	2387023.21934871	"78"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5413018.18844537	2339927.49206967	"79"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5498641.9495908	2321718.7329528	"80"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5308825.4208194	2348392.295667	"81"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5140679.50894206	2317398.78969894	"82"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5089137.70249753	2336901.51827579	"83"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5060923.56700008	2320229.09798021	"84"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5212755.50329016	2247947.09075332	"85"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5212190.17155894	2180794.57402803	"86"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5307907.80220632	2241557.96422359	"87"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5349766.60341378	2157673.70143708	"88"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5386226.24647357	2198779.12774292	"89"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5415783.84461239	2172896.1623603	"90"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5464415.99751566	2208962.9726972	"91"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5452426.97603931	2278272.9323394	"92"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5551706.53521177	2295749.35294214	"93"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5604840.82908196	2271913.38956525	"94"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5735786.59146491	2299227.55695376	"95"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5597326.12526926	2209839.3730381	"96"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5531422.81080739	2151430.77613489	"97"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
4429015.95891126	2246080.68763138	"98"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5569416.5803327	2105703.00121385	"99"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
5677713.47738012	2201566.70377963	"100"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
5579201.23089131	2052048.14255893	"101"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
4250134.73386848	1901193.83376334	"102"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
5935130.356106	2087177.04642484	"103"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
5579310.2320248	1760459.16295134	"104"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
3485511.9967718	2882949.24653795	"105"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
3342767.72062444	2861690.32686946	"106"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
3567241.5314008	2661811.44425168	"107"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
3693226.56299663	2295321.2609985	"108"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
3180437.83089574	2327013.95210526	"109"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
3240585.25107757	3467795.31798613	"110"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
3418385.3285403	3352547.12946813	"111"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
3510071.85715995	3939058.33670497	"112"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
3428736.59602932	3901924.35712457	"113"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3491104.8123083	3866326.23035621	"114"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3524865.31371885	3796633.9722306	"115"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3418864.8865778	3810278.91373888	"116"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3484247.97525	3737130.5180672	"117"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3442437.97511691	3697883.31336379	"118"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3504346.40645737	3565693.7181855	"119"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3057372.31226734	3562764.57755425	"120"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3054299.50113831	3463765.29454626	"121"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3119989.1840305	3399392.95188463	"122"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3024813.12560009	3378265.41093224	"123"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3406591.92544359	3423974.74826374	"124"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3359752.75376204	3314700.19552194	"125"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3493288.45513476	3398641.37719354	"126"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3350692.56835166	3148665.90099479	"127"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
4380323.54378817	2260351.0706439	"128"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
3689130.36457746	2649504.0260588	"129"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
3473997.19818288	2794876.99854442	"130"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
3412776.02795205	2873029.90943811	"131"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
3300661.47648	2908895.81783248	"132"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
2995540.19544928	2429493.58195889	"133"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
2846305.09849816	2364463.25087731	"134"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
2851471.96499466	2275027.93855862	"135"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
2939125.60137301	2224923.17181203	"136"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
2988321.31616231	2125131.31169633	"137"	Tin	Anthony and Pernicka 2010	TRUE					Unspecified	Tin		
2714808.94825177	2026026.98074068	"138"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3117629.55563878	2309513.96607732	"139"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
3346427.5230395	1735363.29348844	"140"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
2956627.53549043	1797964.94761451	"141"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
3513323.0653358	2186581.97760602	"142"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3562661.39720379	2111106.02186803	"143"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
2960113.05331646	1748701.75503105	"144"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
2903471.27049378	1714808.64381406	"145"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
3093823.37296472	1673124.9426821	"146"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
5645660.5635993	1666655.84151628	"147"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
5678986.2270202	1704533.80915494	"148"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
5832175.40072791	2066564.50736953	"149"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
5799710.00035929	1989931.70447477	"150"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
5964407.91801738	1850603.52186381	"151"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
7135633.71081344	2683277.43646734	"152"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
7324608.2924935	2628193.98398049	"153"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6919667.10774547	2625693.77889586	"154"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6951691.732737	2582610.09368049	"155"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6890420.38239135	2589478.19706796	"156"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6926674.04989491	2525222.01602686	"157"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6865709.93908813	2541134.64026878	"158"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6664703.69986782	2420844.10392086	"159"	Gold	Anthony and Pernicka 2010	TRUE					Unspecified	Gold		
6611201.62891096	2391507.42355089	"160"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6713268.74574908	2414029.142901	"161"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6695135.14210625	2347162.84443189	"162"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6946554.85802333	2288011.70802748	"163"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
7057579.99236675	2308214.0632236	"164"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
7078719.27751499	2292168.04009587	"165"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6899579.63594702	2269650.17221258	"166"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6833663.50915884	2252197.34513515	"167"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6877597.95387297	2228505.22256964	"168"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6787513.90707605	2191130.17210116	"169"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6780557.77104226	2146224.39394468	"170"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6734628.50658918	2153186.93127813	"171"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6686940.75829916	2061278.77773827	"172"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6374659.83458089	1844197.2401448	"173"	Silver	Anthony and Pernicka 2010	TRUE					Unspecified	Silver		
6422603.91380362	1668344.76303051	"174"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6460579.25040929	1707935.65327253	"175"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
6509084.01336155	1694001.21014331	"176"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
7722495.11144063	2416643.70088999	"177"	Copper	Anthony and Pernicka 2010	TRUE					Unspecified	Copper		
