X	Y	fid	map_ID	Site_ID	site_name	District	INCLUDE	Reference
4834778.44392654	2932225.28421026	"108"	"834"	Ho4_834	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4834791.86368617	2932239.90444934	"109"	"803"	Ho4_803	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4834470.31416466	2932065.93471395	"110"	"847"	Ho4_847	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4834473.61887667	2932059.22757493	"111"	"677"	Ho4_677	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4834484.54221066	2932056.64723506	"112"	"859"	Ho4_859	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4834487.38658194	2932062.49393719	"113"	"860"	Ho4_860	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4834428.67012247	2932059.7370915	"114"	"836"	Ho4_836	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4834425.18751274	2932042.68426445	"115"	"878"	Ho4_878	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4834402.48106888	2932031.28764479	"116"	"881"	Ho4_881	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4834540.60429578	2932110.51056107	"117"	"848"	Ho4_848	Hostice4	Hostice-Heroltice	"0"	Kolar et al. 2011
4836255.40683443	2933754.61295021	"118"	"801"	Iv3_2_801	Ivanovice na Hane 3.2	Ivanovice na Hane	"1"	Kolar et al. 2011
4836248.77177221	2933735.99185921	"119"	"815"	Iv3_2_815	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836253.83235226	2933728.54136766	"120"	"804"	Iv3_2_804	Ivanovice na Hane 3.2	Ivanovice na Hane	"1"	Kolar et al. 2011
4836281.61117161	2933742.61795419	"121"	"812"	Iv3_2_812	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836293.99946598	2933770.18624572	"122"	"803"	Iv3_2_803	Ivanovice na Hane 3.2	Ivanovice na Hane	"1"	Kolar et al. 2011
4836315.90958501	2933770.21072696	"123"	"800"	Iv3_2_800	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836318.84366536	2933756.711343	"124"	"802"	Iv3_2_802	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836316.88960076	2933737.794382	"125"	"813"	Iv3_2_813	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836341.54513554	2933731.0431962	"126"	"811"	Iv3_2_811	Ivanovice na Hane 3.2	Ivanovice na Hane	"1"	Kolar et al. 2011
4836299.04908313	2933733.08837755	"127"	"806"	Iv3_2_806	Ivanovice na Hane 3.2	Ivanovice na Hane	"1"	Kolar et al. 2011
4836267.35879327	2933720.54555574	"128"	"805"	Iv3_2_805	Ivanovice na Hane 3.2	Ivanovice na Hane	"1"	Kolar et al. 2011
4836270.56307706	2933705.59601391	"129"	"809"	Iv3_2_809	Ivanovice na Hane 3.2	Ivanovice na Hane	"1"	Kolar et al. 2011
4836287.58095837	2933682.71835094	"130"	"821"	Iv3_2_821	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836305.54547722	2933702.68445793	"131"	"822"	Iv3_2_822	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836315.74857458	2933690.72995072	"132"	"820"	Iv3_2_820	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836318.55957821	2933700.75905903	"133"	"824"	Iv3_2_824	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836326.17474806	2933711.62889309	"134"	"825"	Iv3_2_825	Ivanovice na Hane 3.2	Ivanovice na Hane	"1"	Kolar et al. 2011
4836297.45522376	2933718.14040478	"135"	"814"	Iv3_2_814	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836296.11493626	2933716.15752838	"136"	"826"	Iv3_2_826 (Objekt 513)	Ivanovice na Hane 3.2	Ivanovice na Hane	"0"	Kolar et al. 2011
4836852.08628458	2934156.22031136	"137"	"810"	Iv4_810	Ivanovice na Hane 4	Ivanovice na Hane	"1"	Kolar et al. 2011
4836877.93844736	2934195.52627443	"138"	"811"	Iv4_811	Ivanovice na Hane 4	Ivanovice na Hane	"0"	Kolar et al. 2011
4836884.48478803	2934178.26785456	"139"	"800"	Iv4_800	Ivanovice na Hane 4	Ivanovice na Hane	"1"	Kolar et al. 2011
4836895.70174357	2934174.12261048	"140"	"801"	Iv4_801	Ivanovice na Hane 4	Ivanovice na Hane	"0"	Kolar et al. 2011
