Experiment_description;reference;disc_scrapers;backed_knives;flake_axes;blade_sickles;flake_burins;borers;transverse_arrowheads;total_time_mins;mean_mins_per_piece;PH_piece
14 large discoid flakes from making one axe blank produced;Hansen and Madsen 1983: 48;8;1;5;NA;NA;NA;NA;15;1.07;0.018
14 waste flakes from making one axe blank produced;Hansen and Madsen 1983: 50;4;2;NA;1;1;1;3 (+2 discarded);19;1.36;0.023
